Date,Values
2022-08-11,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-08-12,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-08-13,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-08-14,0;0;0;0;0;0;0;0;0;0.0161;0.0144;0.0001;0;1.1741;0;0;0;0;0;0;0;0;0;0
2022-08-15,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-08-16,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-08-17,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-08-18,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-08-19,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-08-20,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-08-21,0.0404;0.095;0;0;0;0;0.4843;0.6127;1.335;0;0;0;0;0;0;0;0;0.9054;0;0;0;0;0;0
2022-08-22,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-08-23,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-08-24,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-08-25,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-08-26,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0621;1.7002;1.3014;0.0009;0;0;0
2022-08-27,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-08-28,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.125;0
2022-08-29,0;1.5933;8.4924;0;0.5872;0.7175;0;0;0;0;0;0;0;0;0;0;0.036;0;0;0;0;0;0;0
2022-08-30,0;0.3877;0.2944;0;0.0209;0.2874;0.613;0.0182;0;0;0;0;0;0.9905;0;0;0;0;0;0;0;0;0;0
2022-08-31,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-09-01,0
